FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y
0,78,Temple,530959,180803,"['District', 'Circle']",London Underground,1,180803,
1,79,Blackfriars,531694,180893,"['District', 'Circle']",London Underground,1,180893,
2,80,Mansion House,532354,180932,"['District', 'Circle']",London Underground,1,180932,
3,81,Cannon Street,532611,180900,"['District', 'Circle']",London Underground,1,180900,
4,82,Monument,532912,180824,"['District', 'Circle']",London Underground,1,180824,
5,83,Tower Hill,533579,180755,"['District', 'Circle']",London Underground,1,180755,
6,84,Aldgate,533613,181262,"['Metropolitan', 'Circle']",London Underground,1,181262,
7,85,Liverpool Street,533094,181567,"['Metropolitan', 'Central', 'Circle', 'Hammersmith & City']",London Underground,1,181567,
8,86,Moorgate,532668,181668,"['Metropolitan', 'Northern', 'Circle', 'Hammersmith & City']",London Underground,1,181668,
9,87,Barbican,532004,181856,"['Metropolitan', 'Circle', 'Hammersmith & City']",London Underground,1,181856,
10,88,Farringdon,531560,181874,"['Metropolitan', 'Circle', 'Hammersmith & City']",London Underground,1,181874,
11,89,King's Cross St. Pancras,530175,182875,"['Metropolitan', 'Northern', 'Piccadilly', 'Circle', 'Victoria', 'Hammersmith & City']",London Underground,1,182875,
12,90,Euston Square,529417,182393,"['Metropolitan', 'Circle', 'Hammersmith & City']",London Underground,1,182393,
13,91,Great Portland Street,528838,182180,"['Metropolitan', 'Circle', 'Hammersmith & City']",London Underground,1,182180,
14,92,Baker Street,527955,182064,"['Metropolitan', 'Bakerloo', 'Circle', 'Jubilee', 'Hammersmith & City']",London Underground,1,182064,
15,93,Edgware Road (Circle Line),527220,181697,['Circle'],London Underground,1,181697,
16,94,Paddington,526704,181198,"['Hammersmith & City', 'District', 'Circle', 'Bakerloo']",London Underground,1,181198,
17,95,Bayswater,525843,180823,"['District', 'Circle']",London Underground,1,180823,
18,96,High Street Kensington,525578,179494,"['District', 'Circle']",London Underground,1,179494,
19,97,Gloucester Road,526183,178846,"['District', 'Piccadilly', 'Circle']",London Underground,1,178846,
20,98,South Kensington,526918,178820,"['District', 'Piccadilly', 'Circle']",London Underground,1,178820,
21,110,Victoria,528999,179130,"['District', 'Circle', 'Victoria']",London Underground,1,179130,
22,112,Pimlico,529671,178333,['Victoria'],London Underground,1,178333,
23,114,Warren Street,529249,182266,"['Northern', 'Victoria']",London Underground,1,182266,
24,119,Queensway,525903,180594,['Central'],London Underground,1,180594,
25,14,Hyde Park Corner,528213,179817,['Piccadilly'],London Underground,1,179817,
26,15,Knightsbridge,527710,179636,['Piccadilly'],London Underground,1,179636,
27,16,Leicester Square,529980,180824,"['Piccadilly', 'Northern']",London Underground,1,180824,
28,17,Covent Garden,530251,181025,['Piccadilly'],London Underground,1,181025,
29,18,Russell Square,530229,182128,['Piccadilly'],London Underground,1,182128,
30,37,Earl's Court,525534,178552,"['District', 'Piccadilly']",London Underground,1,178552,
31,39,Notting Hill Gate,525285,180456,"['District', 'Central', 'Circle']",London Underground,1,180456,
32,40,Lancaster Gate,526711,180773,['Central'],London Underground,1,180773,
33,41,Marble Arch,527960,181017,['Central'],London Underground,1,181017,
34,42,Bond Street,528491,181118,"['Central', 'Jubilee']",London Underground,1,181118,
35,47,Bank,532710,181120,"['Waterloo & City', 'Northern', 'Central']",London Underground,1,181120,
36,48,Oxford Circus,529047,181236,"['Central', 'Bakerloo', 'Victoria']",London Underground,1,181236,
37,49,Holborn,530512,181525,"['Central', 'Piccadilly']",London Underground,1,181525,
38,50,Chancery Lane,531124,181615,['Central'],London Underground,1,181615,
39,51,St. Paul's,532108,181274,['Central'],London Underground,1,181274,
40,67,Paddington,526659,181314,"['Hammersmith & City', 'District', 'Circle', 'Bakerloo']",London Underground,1,181314,
41,77,Embankment,530419,180396,"['District', 'Bakerloo', 'Northern', 'Circle']",London Underground,1,180396,
42,195,Westminster,530196,179668,"['District', 'Circle', 'Jubilee']",London Underground,1,179668,
43,197,Euston,529498,182668,"['Northern', 'Victoria']",London Underground,1,182668,
44,198,Waterloo,530968,179962,"['Waterloo & City', 'Bakerloo', 'Northern', 'Jubilee']",London Underground,1,179962,
45,206,Green Park,529007,180295,"['Piccadilly', 'Victoria', 'Jubilee']",London Underground,1,180295,
46,224,Paddington (H&C Line),526459,181527,['Hammersmith & City'],London Underground,1,181527,
47,228,Piccadilly Circus,529613,180666,"['Bakerloo', 'Piccadilly']",London Underground,1,180666,
48,229,Charing Cross,530058,180378,"['Bakerloo', 'Northern']",London Underground,1,180378,
49,231,Lambeth North,531134,179456,['Bakerloo'],London Underground,1,179456,
50,233,Edgware Road (Bakerloo),527047,181759,['Bakerloo'],London Underground,1,181759,
51,236,Marylebone,527459,181957,['Bakerloo'],London Underground,1,181957,
52,237,Regent's Park,528699,182113,['Bakerloo'],London Underground,1,182113,
53,238,Sloane Square,528091,178655,"['District', 'Circle']",London Underground,1,178655,
54,239,St. James's Park,529647,179498,"['District', 'Circle']",London Underground,1,179498,
55,308,Goodge Street,529537,181837,['Northern'],London Underground,1,181837,
56,309,Tottenham Court Road,529815,181382,"['Central', 'Northern']",London Underground,1,181382,
57,329,Borough,532440,179751,['Northern'],London Underground,1,179751,
58,330,Old Street,532764,182419,['Northern'],London Underground,1,182419,
59,331,Angel,531561,183100,['Northern'],London Underground,1,183100,
61,249,Aldgate East,533936,181375,"['Hammersmith & City', 'District']",London Underground,1,181375,
62,288,Southwark,531592,180074,['Jubilee'],London Underground,1,180074,
63,289,London Bridge,532683,180189,"['Northern', 'Jubilee']",London Underground,1,180189,
69,102,East Putney,524382,174870,['District'],London Underground,2,174870,
70,103,Putney Bridge,524519,175887,['District'],London Underground,2,175887,
71,104,Parsons Green,524985,176647,['District'],London Underground,2,176647,
72,105,White City,523308,180748,['Central'],London Underground,2,180748,
73,106,Shepherd's Bush,523720,179884,['Central'],London Underground,2,179884,
74,107,Holland Park,524626,180217,['Central'],London Underground,2,180217,
75,111,Brixton,531052,175429,['Victoria'],London Underground,2,175429,
76,113,Vauxhall,530337,177973,['Victoria'],London Underground,2,177973,
77,115,Highbury & Islington,531583,184874,['Victoria'],London Underground,2,184874,
78,19,Caledonian Road,530558,184970,['Piccadilly'],London Underground,2,184970,
79,20,Holloway Road,530907,185450,['Piccadilly'],London Underground,2,185450,
80,21,Arsenal,531305,186112,['Piccadilly'],London Underground,2,186112,
81,26,Manor House,532048,187482,['Piccadilly'],London Underground,2,187482,
82,31,Shepherd's Bush Market,523197,180064,"['Hammersmith & City', 'Circle']",London Underground,2,180064,
83,32,Goldhawk Road,523184,179608,"['Hammersmith & City', 'Circle']",London Underground,2,179608,
84,33,Latimer Road,523763,180898,"['Hammersmith & City', 'Circle']",London Underground,2,180898,
85,34,Ladbroke Grove,524235,181339,"['Hammersmith & City', 'Circle']",London Underground,2,181339,
86,35,Royal Oak,525834,181571,"['Hammersmith & City', 'Circle']",London Underground,2,181571,
87,36,Westbourne Park,524901,181756,"['Hammersmith & City', 'Circle']",London Underground,2,181756,
88,38,Queen's Park,524547,183200,['Bakerloo'],London Underground,2,183200,
89,52,Mile End,536501,182534,"['District', 'Hammersmith & City', 'Central']",London Underground,2,182534,
90,53,Bethnal Green,535044,182718,['Central'],London Underground,2,182718,
92,196,Kensington (Olympia),524342,179162,['District'],London Underground,2,179162,
93,207,Finsbury Park,531330,186775,"['Piccadilly', 'Victoria']",London Underground,2,186775,
94,208,Stockwell,530460,176433,"['Northern', 'Victoria']",London Underground,2,176433,
95,211,Hammersmith (H&C Line),523325,178698,['Hammersmith & City'],London Underground,2,178698,
96,220,Kensal Green,523257,182790,['Bakerloo'],London Underground,2,182790,
97,230,Elephant & Castle,531909,179142,"['Northern', 'Bakerloo']",London Underground,2,179142,
98,232,Warwick Avenue,526112,182039,['Bakerloo'],London Underground,2,182039,
99,234,Maida Vale,525940,182762,['Bakerloo'],London Underground,2,182762,
100,235,Kilburn Park,525358,183328,['Bakerloo'],London Underground,2,183328,
101,240,Ravenscourt Park,522571,178722,['District'],London Underground,2,178722,
102,241,Hammersmith (Dist&Picc Line),523461,178503,"['District', 'Piccadilly']",London Underground,2,178503,
103,295,Kilburn,524583,184645,['Jubilee'],London Underground,2,184645,
104,297,West Hampstead,525592,184653,['Jubilee'],London Underground,2,184653,
105,298,Swiss Cottage,526664,184335,['Jubilee'],London Underground,2,184335,
106,299,Finchley Road,526220,184716,"['Metropolitan', 'Jubilee']",London Underground,2,184716,
107,301,Archway,529364,186721,['Northern'],London Underground,2,186721,
108,305,Clapham South,528834,174323,['Northern'],London Underground,2,174323,
109,306,Clapham Common,529505,175338,['Northern'],London Underground,2,175338,
110,307,Clapham North,530039,175743,['Northern'],London Underground,2,175743,
111,310,Belsize Park,527354,185089,['Northern'],London Underground,2,185089,
112,311,Hampstead,526373,185761,['Northern'],London Underground,2,185761,
113,312,Mornington Crescent,529192,183397,['Northern'],London Underground,2,183397,
114,313,Chalk Farm,528202,184391,['Northern'],London Underground,2,184391,
115,314,Camden Town,528910,183894,['Northern'],London Underground,2,183894,
116,315,Kentish Town,529009,185127,['Northern'],London Underground,2,185127,
117,316,Tufnell Park,529149,185860,['Northern'],London Underground,2,185860,
118,317,Oval,531170,177565,['Northern'],London Underground,2,177565,
119,318,Kennington,531599,178300,['Northern'],London Underground,2,178300,
120,319,East Acton,521721,181198,['Central'],London Underground,2,181198,
121,334,Wood Lane,523374,180519,"['Hammersmith & City', 'Circle']",London Underground,2,180519,
130,242,West Kensington,524685,178398,['District'],London Underground,2,178398,
131,243,Barons Court,524046,178328,"['District', 'Piccadilly']",London Underground,2,178328,
132,244,Fulham Broadway,525455,177302,['District'],London Underground,2,177302,
133,245,West Brompton,525381,178024,['District'],London Underground,2,178024,
134,246,Stamford Brook,521859,178789,['District'],London Underground,2,178789,
135,248,Stepney Green,535621,182136,"['District', 'Hammersmith & City']",London Underground,2,182136,
136,250,Whitechapel,534645,181850,"['District', 'Hammersmith & City']",London Underground,2,181850,
137,251,Bow Road,537090,182736,"['District', 'Hammersmith & City']",London Underground,2,182736,
138,287,St. John's Wood,526735,183391,['Jubilee'],London Underground,2,183391,
139,290,Canada Water,535457,179467,['Jubilee'],London Underground,2,179467,
140,291,Bermondsey,534460,179416,['Jubilee'],London Underground,2,179416,
141,292,Canary Wharf,537677,180140,['Jubilee'],London Underground,2,180140,
202,99,Chiswick Park,520293,178724,['District'],London Underground,3,178724,
203,100,Wimbledon Park,525282,172100,['District'],London Underground,3,172100,
204,101,Southfields,524726,173313,['District'],London Underground,3,173313,
205,116,Seven Sisters,533643,188931,['Victoria'],London Underground,3,188931,
206,117,Blackhorse Road,535761,189370,['Victoria'],London Underground,3,189370,
207,118,Tottenham Hale,534484,189471,['Victoria'],London Underground,3,189471,
208,1,Brent Cross,523874,187934,['Northern'],London Underground,3,187934,
209,6,Golders Green,525255,187480,['Northern'],London Underground,3,187480,
210,10,South Ealing,517575,179354,['Piccadilly'],London Underground,3,179354,
211,11,North Ealing,518828,181228,['Piccadilly'],London Underground,3,181228,
212,12,Park Royal,519142,182236,['Piccadilly'],London Underground,3,182236,
213,45,Hanger Lane,518527,182634,['Central'],London Underground,3,182634,
214,46,North Acton,520828,181957,['Central'],London Underground,3,181957,
215,54,Leyton,538367,186076,['Central'],London Underground,3,186076,
216,68,Bromley-by-Bow,538050,182524,"['District', 'Hammersmith & City']",London Underground,3,182524,
217,69,Plaistow,540003,183297,"['District', 'Hammersmith & City']",London Underground,3,183297,
218,70,Upton Park,541254,183793,"['District', 'Hammersmith & City']",London Underground,3,183793,
219,192,Turnpike Lane,531513,189638,['Piccadilly'],London Underground,3,189638,
220,193,Wood Green,531015,190428,['Piccadilly'],London Underground,3,190428,
221,194,Bounds Green,529984,191469,['Piccadilly'],London Underground,3,191469,
222,201,West Ham,539131,182945,"['District', 'Hammersmith & City', 'Jubilee']",London Underground,3,182945,
223,202,Walthamstow Central,537176,188994,['Victoria'],London Underground,3,188994,
224,203,Ealing Broadway,517989,180933,"['District', 'Central']",London Underground,3,180933,
225,204,Acton Town,519478,179592,"['District', 'Piccadilly']",London Underground,3,179592,
226,205,Ealing Common,518896,180346,"['District', 'Piccadilly']",London Underground,3,180346,
227,209,South Wimbledon,525736,169989,['Northern'],London Underground,3,169989,
228,218,Northfields,517197,179206,['Piccadilly'],London Underground,3,179206,
229,221,Harlesden,520875,183414,['Bakerloo'],London Underground,3,183414,
230,226,Kew Gardens,519196,176732,['District'],London Underground,3,176732,
231,227,Gunnersbury,519845,178388,['District'],London Underground,3,178388,
232,293,North Greenwich,539216,179859,['Jubilee'],London Underground,3,179859,
233,294,Canning Town,539428,181377,['Jubilee'],London Underground,3,181377,
234,296,Willesden Green,523329,184883,['Jubilee'],London Underground,3,184883,
235,300,Colliers Wood,526788,170368,['Northern'],London Underground,3,170368,
236,302,Tooting Broadway,527434,171443,['Northern'],London Underground,3,171443,
237,303,Tooting Bec,528047,172374,['Northern'],London Underground,3,172374,
238,304,Balham,528480,173244,['Northern'],London Underground,3,173244,
239,332,Hendon Central,522986,188636,['Northern'],London Underground,3,188636,
240,333,Wimbledon,524800,170684,['District'],London Underground,3,170684,
244,247,Turnham Green,521266,178779,"['District', 'Piccadilly']",London Underground,3,178779,
245,253,Neasden,521342,185398,['Jubilee'],London Underground,3,185398,
246,254,Dollis Hill,522190,185144,['Jubilee'],London Underground,3,185144,
247,260,Stonebridge Park,519616,184218,['Bakerloo'],London Underground,3,184218,
248,261,Willesden Junction,521858,182960,['Bakerloo'],London Underground,3,182960,
249,262,East Finchley,527222,189184,['Northern'],London Underground,3,189184,
250,263,Highgate,528535,188181,['Northern'],London Underground,3,188181,
251,269,West Acton,519373,181296,['Central'],London Underground,3,181296,
252,270,Stratford,538530,184395,"['Central', 'Jubilee']",London Underground,3,184395,
301,122,Hainault,545080,191498,['Central'],London Underground,4,191498,
302,123,Grange Hill,544967,192559,['Central'],London Underground,4,192559,
303,2,Colindale,521319,189962,['Northern'],London Underground,4,189962,
304,3,Burnt Oak,520326,190760,['Northern'],London Underground,4,190760,
305,5,Mill Hill East,524046,191450,['Northern'],London Underground,4,191450,
306,7,Finchley Central,525278,190668,['Northern'],London Underground,4,190668,
307,8,Sudbury Hill,515412,185542,['Piccadilly'],London Underground,4,185542,
308,9,Sudbury Town,516875,184890,['Piccadilly'],London Underground,4,184890,
309,13,Alperton,517996,183795,['Piccadilly'],London Underground,4,183795,
310,22,Arnos Grove,529355,192498,['Piccadilly'],London Underground,4,192498,
311,23,Southgate,529676,194265,['Piccadilly'],London Underground,4,194265,
312,43,Perivale,516378,183315,['Central'],London Underground,4,183315,
313,44,Greenford,514763,183928,['Central'],London Underground,4,183928,
314,55,Snaresbrook,540157,188804,['Central'],London Underground,4,188804,
315,56,Leytonstone,539279,187405,['Central'],London Underground,4,187405,
316,57,Wanstead,540673,188254,['Central'],London Underground,4,188254,
317,58,Redbridge,541834,188358,['Central'],London Underground,4,188358,
318,59,Gants Hill,543274,188430,['Central'],London Underground,4,188430,
319,60,South Woodford,540536,190063,['Central'],London Underground,4,190063,
320,61,Newbury Park,544920,188385,['Central'],London Underground,4,188385,
321,62,Barkingside,544799,189494,['Central'],London Underground,4,189494,
322,63,Fairlop,544936,190595,['Central'],London Underground,4,190595,
323,64,Woodford,540950,191740,['Central'],London Underground,4,191740,
324,65,Roding Valley,541590,192895,['Central'],London Underground,4,192895,
325,66,Chigwell,543795,193021,['Central'],London Underground,4,193021,
326,71,East Ham,542463,184275,"['District', 'Hammersmith & City']",London Underground,4,184275,
327,76,Upney,545846,184254,['District'],London Underground,4,184254,
328,200,Barking,544359,184382,"['District', 'Hammersmith & City']",London Underground,4,184382,
329,210,Morden,525670,168602,['Northern'],London Underground,4,168602,
330,214,Hounslow Central,513568,175971,['Piccadilly'],London Underground,4,175971,
331,215,Hounslow East,514255,176203,['Piccadilly'],London Underground,4,176203,
332,216,Osterley,514520,177097,['Piccadilly'],London Underground,4,177097,
333,217,Boston Manor,516334,178693,['Piccadilly'],London Underground,4,178693,
334,222,Wembley Central,518183,185085,['Bakerloo'],London Underground,4,185085,
335,223,North Wembley,517668,186198,['Bakerloo'],London Underground,4,186198,
336,225,Richmond,518077,175161,['District'],London Underground,4,175161,
337,328,Preston Road,518249,187282,['Metropolitan'],London Underground,4,187282,
338,252,Wembley Park,519316,186388,"['Metropolitan', 'Jubilee']",London Underground,4,186388,
339,255,Kingsbury,519359,188713,['Jubilee'],London Underground,4,188713,
340,256,Queensbury,518809,189763,['Jubilee'],London Underground,4,189763,
341,257,South Kenton,517336,187060,['Bakerloo'],London Underground,4,187060,
342,259,Kenton,516728,188314,['Bakerloo'],London Underground,4,188314,
343,264,Woodside Park,525718,192588,['Northern'],London Underground,4,192588,
344,265,West Finchley,525546,191627,['Northern'],London Underground,4,191627,
345,266,Totteridge & Whetstone,526120,193989,['Northern'],London Underground,4,193989,
346,283,Northwick Park,516643,187964,['Metropolitan'],London Underground,4,187964,
380,108,Becontree,547628,184527,['District'],London Underground,5,184527,
381,109,Dagenham Heathway,549023,184710,['District'],London Underground,5,184710,
382,120,Buckhurst Hill,541778,193891,['Central'],London Underground,5,193891,
383,4,Edgware,519550,191940,['Northern'],London Underground,5,191940,
384,24,Cockfosters,528141,196370,['Piccadilly'],London Underground,5,196370,
385,25,Oakwood,529390,195935,['Piccadilly'],London Underground,5,195935,
386,72,Ruislip Gardens,510266,185852,['Central'],London Underground,5,185852,
387,73,South Ruislip,511097,185434,['Central'],London Underground,5,185434,
388,74,Northolt,513213,184524,['Central'],London Underground,5,184524,
389,213,Hounslow West,512208,176197,['Piccadilly'],London Underground,5,176197,
390,219,South Harrow,514321,186361,['Piccadilly'],London Underground,5,186361,
391,258,Harrow & Wealdstone,515443,189446,['Bakerloo'],London Underground,5,189446,
392,267,High Barnet,525030,196180,['Northern'],London Underground,5,196180,
393,276,Eastcote,511153,187622,"['Metropolitan', 'Piccadilly']",London Underground,5,187622,
394,278,West Harrow,514200,188029,['Metropolitan'],London Underground,5,188029,
395,279,Rayners Lane,512953,187515,"['Metropolitan', 'Piccadilly']",London Underground,5,187515,
396,280,North Harrow,513541,188613,['Metropolitan'],London Underground,5,188613,
397,281,Pinner,512236,189461,['Metropolitan'],London Underground,5,189461,
398,282,Harrow-on-the-Hill,515346,188038,['Metropolitan'],London Underground,5,188038,
399,285,Stanmore,517563,192573,['Jubilee'],London Underground,5,192573,
400,286,Canons Park,518187,191252,['Jubilee'],London Underground,5,191252,
401,127,Dagenham East,550294,185030,['District'],London Underground,5,185030,
426,121,Loughton,542319,195612,['Central'],London Underground,6,195612,
427,124,Debden,544273,196122,['Central'],London Underground,6,196122,
428,125,Theydon Bois,545542,199101,['Central'],London Underground,6,199101,
429,126,Epping,546209,201538,['Central'],London Underground,6,201538,
430,27,Elm Park,552542,185716,['District'],London Underground,6,185716,
431,28,Hornchurch,553944,186240,['District'],London Underground,6,186240,
432,29,Heathrow Terminals 1-2-3,507586,175840,['Piccadilly'],London Underground,6,175840,
433,30,Upminster Bridge,555088,186770,['District'],London Underground,6,186770,
434,75,West Ruislip,508379,186796,['Central'],London Underground,6,186796,
435,199,Upminster,556146,186868,['District'],London Underground,6,186868,
436,212,Hatton Cross,509608,175363,['Piccadilly'],London Underground,6,175363,
437,325,Northwood,509230,191419,['Metropolitan'],London Underground,6,191419,
438,335,Heathrow Terminal 5,505109,175924,['Piccadilly'],London Underground,6,175924,
439,268,Heathrow Terminal 4,508082,174430,['Piccadilly'],London Underground,6,174430,
440,271,Uxbridge,505661,184161,"['Metropolitan', 'Piccadilly']",London Underground,6,184161,
441,272,Hillingdon,507602,185035,"['Metropolitan', 'Piccadilly']",London Underground,6,185035,
442,273,Ickenham,508092,185938,"['Metropolitan', 'Piccadilly']",London Underground,6,185938,
443,274,Ruislip,509474,187004,"['Metropolitan', 'Piccadilly']",London Underground,6,187004,
444,275,Ruislip Manor,510160,187262,"['Metropolitan', 'Piccadilly']",London Underground,6,187262,
445,277,Northwood Hills,510308,190238,['Metropolitan'],London Underground,6,190238,
459,321,Chorleywood,502581,196095,['Metropolitan'],London Underground,7,196095,
460,323,Rickmansworth,505716,194601,['Metropolitan'],London Underground,7,194601,
461,324,Moor Park,508606,193503,['Metropolitan'],London Underground,7,193503,
462,326,Croxley,507909,195403,['Metropolitan'],London Underground,7,195403,
463,327,Watford,509569,196596,['Metropolitan'],London Underground,7,196596,
466,320,Chalfont & Latimer,499634,197564,['Metropolitan'],London Underground,8,197564,
471,322,Chesham,496079,201633,['Metropolitan'],London Underground,9,201633,
472,284,Amersham,496372,198181,['Metropolitan'],London Underground,9,198181,
